,accepted_timestamp,accepted_lat,accepted_lng,pickup_timestamp,dropped_off_timestamp
0,2021-07-15 22:29:22 UTC,29.4693,-98.64454,2021-07-15 22:37:28 UTC,2021-07-15 22:51:25 UTC
1,2021-07-15 23:30:53 UTC,29.42473,-98.48886,2021-07-15 23:35:51 UTC,2021-07-15 23:46:21 UTC
2,2021-07-15 19:31:09 UTC,29.4482,-98.66975,2021-07-15 19:37:27 UTC,2021-07-15 19:49:47 UTC
3,2021-07-10 23:25:59 UTC,29.52192,-98.55595,2021-07-10 23:29:56 UTC,2021-07-10 23:59:56 UTC
4,2021-07-07 21:32:25 UTC,29.453194,-98.637306,2021-07-07 21:38:39 UTC,2021-07-07 21:56:16 UTC
5,2021-07-07 21:04:26 UTC,29.441767,-98.667128,2021-07-07 21:08:04 UTC,2021-07-07 21:22:35 UTC
6,2021-07-07 22:46:23 UTC,29.52052,-98.47689,2021-07-07 22:49:12 UTC,2021-07-07 23:17:21 UTC
7,2021-07-07 22:12:00 UTC,29.40455,-98.55626,2021-07-07 22:16:28 UTC,2021-07-07 22:31:40 UTC
8,2021-07-15 21:02:27 UTC,29.35108,-98.4401,2021-07-15 21:10:37 UTC,2021-07-15 21:24:55 UTC
9,2021-07-15 21:29:51 UTC,29.35205,-98.44887,,
10,2021-07-15 21:39:48 UTC,29.40808,-98.47981,2021-07-15 21:47:47 UTC,2021-07-15 21:59:24 UTC
11,2021-07-03 17:12:42 UTC,29.356690000000004,-98.49133,2021-07-03 17:17:13 UTC,2021-07-03 17:22:58 UTC
12,2021-07-03 16:40:52 UTC,29.42032,-98.47945,2021-07-03 16:53:22 UTC,2021-07-03 17:09:32 UTC
13,2021-07-03 21:09:06 UTC,29.46681,-98.62112,2021-07-03 21:14:33 UTC,2021-07-03 21:45:32 UTC
14,2021-07-03 17:55:07 UTC,29.43615,-98.49586,2021-07-03 18:04:39 UTC,2021-07-03 18:11:12 UTC
15,2021-07-03 19:21:14 UTC,29.434622,-98.494118,2021-07-03 19:25:56 UTC,2021-07-03 19:38:01 UTC
16,2021-07-03 23:21:47 UTC,29.42746,-98.49748,2021-07-03 23:26:28 UTC,2021-07-03 23:35:57 UTC
17,2021-07-03 21:51:04 UTC,29.608690000000003,-98.48984,2021-07-03 21:55:58 UTC,2021-07-03 22:20:37 UTC
18,2021-07-21 21:25:20 UTC,29.57984,-98.39173,2021-07-21 21:33:39 UTC,2021-07-21 21:50:28 UTC
19,2021-07-21 18:47:59 UTC,29.435482,-98.688637,2021-07-21 18:53:16 UTC,2021-07-21 19:07:32 UTC
20,2021-07-07 22:00:45 UTC,29.4055,-98.62934,,
21,2021-07-07 20:29:08 UTC,29.43547,-98.69107,2021-07-07 20:35:21 UTC,2021-07-07 20:42:01 UTC
22,2021-07-07 23:32:31 UTC,29.59267,-98.57976,2021-07-07 23:37:27 UTC,2021-07-07 23:48:11 UTC
23,2021-07-12 22:44:47 UTC,29.49906,-98.50782,2021-07-12 22:54:09 UTC,2021-07-12 23:09:03 UTC
24,2021-07-12 20:35:13 UTC,29.505296,-98.474906,2021-07-12 20:40:48 UTC,2021-07-12 21:01:03 UTC
25,2021-07-12 19:04:53 UTC,29.51971,-98.47736,2021-07-12 19:10:35 UTC,2021-07-12 19:22:26 UTC
26,2021-07-12 20:05:13 UTC,29.51988,-98.48236,2021-07-12 20:07:07 UTC,2021-07-12 20:11:35 UTC
27,2021-07-12 20:59:54 UTC,29.504346,-98.61914,2021-07-12 21:06:57 UTC,2021-07-12 21:13:28 UTC
28,2021-07-12 22:22:05 UTC,29.520734,-98.487747,2021-07-12 22:35:42 UTC,2021-07-12 22:41:27 UTC
29,2021-07-10 18:41:13 UTC,29.442281,-98.72792,2021-07-10 18:59:49 UTC,2021-07-10 19:10:38 UTC
30,2021-07-23 17:20:30 UTC,29.474518,-98.6108,2021-07-23 17:22:43 UTC,2021-07-23 17:31:23 UTC
31,2021-07-23 20:47:56 UTC,29.486391,-98.347422,2021-07-23 20:56:53 UTC,2021-07-23 21:04:13 UTC
32,2021-07-23 19:26:19 UTC,29.522998,-98.476324,2021-07-23 19:29:09 UTC,2021-07-23 19:39:11 UTC
33,2021-07-23 18:33:27 UTC,29.477637,-98.589603,2021-07-23 18:41:14 UTC,2021-07-23 18:52:15 UTC
34,2021-07-23 19:49:12 UTC,29.515705,-98.415533,2021-07-23 19:52:04 UTC,2021-07-23 19:56:57 UTC
35,2021-07-23 20:29:02 UTC,29.473028000000003,-98.404108,2021-07-23 20:34:58 UTC,2021-07-23 20:45:25 UTC
36,2021-07-23 19:59:32 UTC,29.48589,-98.403159,,
