pay_period,amount,currency,payout_type,processed_at
2021-10-04 10:00:00 UTC,174,USD,express,2021-10-11 03:02:24 UTC
2021-10-04 10:00:00 UTC,43,USD,express,2021-10-04 20:59:04 UTC
2021-10-18 10:00:00 UTC,107,USD,express,2021-10-21 15:35:42 UTC
2021-08-16 10:00:00 UTC,149,USD,express,2021-08-21 06:22:10 UTC
2021-08-16 10:00:00 UTC,35,USD,express,2021-08-21 22:34:06 UTC
2021-12-27 11:00:00 UTC,224,USD,express,2021-12-30 07:10:46 UTC
2021-10-18 10:00:00 UTC,146,USD,express,2021-10-24 02:12:22 UTC
2021-10-18 10:00:00 UTC,103,USD,express,2021-10-24 06:23:06 UTC
2021-11-08 11:00:00 UTC,75,USD,express,2021-11-10 02:12:05 UTC
2022-01-10 11:00:00 UTC,28,USD,express,2022-01-13 22:03:08 UTC
2022-03-28 10:00:00 UTC,169,USD,express,2022-04-03 21:45:04 UTC
2021-11-29 11:00:00 UTC,203,USD,express,2021-12-03 14:24:32 UTC
2021-12-20 11:00:00 UTC,108,USD,express,2021-12-27 04:05:03 UTC
2022-01-03 11:00:00 UTC,166,USD,express,2022-01-08 07:07:08 UTC
2021-12-20 11:00:00 UTC,43,USD,express,2021-12-23 22:47:15 UTC
2021-12-20 11:00:00 UTC,22,USD,express,2021-12-24 23:07:28 UTC
2021-08-30 10:00:00 UTC,62,USD,express,2021-09-06 00:06:36 UTC
2021-10-04 10:00:00 UTC,3,USD,express,2021-10-12 02:10:51 UTC
2021-10-11 10:00:00 UTC,219,USD,express,2021-10-12 02:10:53 UTC
2021-10-11 10:00:00 UTC,121,USD,express,2021-10-17 01:54:08 UTC
2021-09-06 10:00:00 UTC,99,USD,express,2021-09-12 05:55:29 UTC
2022-03-21 10:00:00 UTC,98,USD,express,2022-03-22 23:33:07 UTC
2022-01-03 11:00:00 UTC,194,USD,express,2022-01-06 10:51:19 UTC
2021-11-22 11:00:00 UTC,65,USD,express,2021-11-25 00:12:59 UTC
2021-11-22 11:00:00 UTC,225,USD,express,2021-11-24 08:12:00 UTC
2021-08-23 10:00:00 UTC,261,USD,express,2021-08-26 04:23:43 UTC
2021-09-13 10:00:00 UTC,221,USD,express,2021-09-17 04:42:01 UTC
2022-03-14 10:00:00 UTC,68,USD,express,2022-03-19 23:51:30 UTC
2022-03-14 10:00:00 UTC,237,USD,express,2022-03-19 04:43:47 UTC
2022-05-23 10:00:00 UTC,7,USD,instant,2022-05-29 00:46:11 UTC
2022-05-23 10:00:00 UTC,2,USD,instant,2022-05-29 00:25:12 UTC
2022-05-23 10:00:00 UTC,7,USD,instant,2022-05-29 21:23:59 UTC
2022-05-23 10:00:00 UTC,14,USD,instant,2022-05-29 20:55:26 UTC
2022-05-23 10:00:00 UTC,11,USD,instant,2022-05-29 21:52:58 UTC
2022-05-23 10:00:00 UTC,9,USD,instant,2022-05-29 21:36:48 UTC
2022-05-23 10:00:00 UTC,2,USD,instant,2022-05-29 21:53:20 UTC
2022-05-23 10:00:00 UTC,11,USD,instant,2022-05-29 23:35:36 UTC
2022-05-23 10:00:00 UTC,3,USD,instant,2022-05-29 00:05:33 UTC
2022-03-21 10:00:00 UTC,81,USD,express,2022-03-27 00:13:05 UTC
2022-05-23 10:00:00 UTC,7,USD,instant,2022-05-26 06:55:01 UTC
2022-05-23 10:00:00 UTC,18,USD,instant,2022-05-26 05:19:46 UTC
