status,accepted_timestamp,accepted_lat,accepted_lng,pickup_timestamp,pickup_lat,pickup_lng,dropped_off_timestamp,dropoff_lat,dropoff_lng
finished,2021-07-08 20:57:56 UTC,29.43608,-98.49454,2021-07-08 21:01:30 UTC,,,2021-07-08 21:15:05 UTC,,
finished,2021-07-08 06:41:29 UTC,29.42458,-98.50038,2021-07-08 06:45:36 UTC,,,2021-07-08 07:08:28 UTC,,
canceled,2021-07-08 01:49:01 UTC,29.487599,-98.608716,,,,,,
finished,2021-07-08 22:39:27 UTC,29.46735,-98.49189,2021-07-08 22:42:04 UTC,,,2021-07-08 22:56:26 UTC,,
finished,2021-07-08 05:28:51 UTC,29.527446,-98.477111,2021-07-08 05:46:57 UTC,,,2021-07-08 06:03:00 UTC,,
finished,2021-07-08 22:02:22 UTC,29.54867,-98.51016,2021-07-08 22:06:59 UTC,,,2021-07-08 22:25:34 UTC,,
finished,2021-07-08 05:05:13 UTC,29.58033,-98.47636,2021-07-08 05:13:14 UTC,,,2021-07-08 05:37:56 UTC,,
finished,2021-07-08 04:16:40 UTC,29.557615999999996,-98.589177,2021-07-08 04:22:22 UTC,,,2021-07-08 04:30:23 UTC,,
finished,2021-07-08 00:31:22 UTC,29.42688,-98.48589,2021-07-08 00:34:31 UTC,,,2021-07-08 00:50:20 UTC,,
finished,2021-08-03 20:17:21 UTC,29.621034,-98.493565,2021-08-03 20:32:24 UTC,,,2021-08-03 20:47:53 UTC,,
finished,2021-08-03 23:27:35 UTC,29.553836999999998,-98.486316,2021-08-03 23:32:12 UTC,,,2021-08-03 23:37:08 UTC,,
finished,2021-08-03 23:38:31 UTC,29.595727,-98.471923,2021-08-03 23:43:02 UTC,,,2021-08-03 23:56:38 UTC,,
finished,2021-08-01 00:49:33 UTC,29.591086999999998,-98.52877,2021-08-01 01:06:55 UTC,,,2021-08-01 01:32:58 UTC,,
finished,2021-08-01 02:03:52 UTC,29.51945,-98.560615,2021-08-01 02:08:36 UTC,,,2021-08-01 02:34:55 UTC,,
finished,2021-08-01 00:20:33 UTC,29.564058000000003,-98.591909,2021-08-01 00:28:58 UTC,,,2021-08-01 00:41:53 UTC,,
finished,2021-07-03 23:37:53 UTC,29.4249,-98.49148000000001,2021-07-03 23:40:46 UTC,,,2021-07-03 23:59:13 UTC,,
finished,2021-07-03 17:12:42 UTC,29.356690000000004,-98.49133,2021-07-03 17:17:13 UTC,,,2021-07-03 17:22:58 UTC,,
finished,2021-07-08 04:32:23 UTC,29.547326,-98.56476500000001,2021-07-08 04:50:36 UTC,,,2021-07-08 05:04:22 UTC,,
finished,2021-07-08 21:47:22 UTC,29.55446,-98.53777,2021-07-08 21:55:33 UTC,,,2021-07-08 22:00:29 UTC,,
finished,2021-07-08 03:55:38 UTC,29.592756,-98.62522299999999,2021-07-08 03:57:50 UTC,,,2021-07-08 04:06:34 UTC,,
finished,2021-07-08 07:12:44 UTC,29.496655,-98.392513,2021-07-08 07:19:23 UTC,,,2021-07-08 07:36:13 UTC,,
finished,2021-07-08 03:02:03 UTC,29.575159999999997,-98.596,2021-07-08 03:08:50 UTC,,,2021-07-08 03:18:13 UTC,,
canceled,2021-07-08 02:08:43 UTC,29.478523,-98.6579,,,,,,
finished,2021-07-08 02:19:17 UTC,29.516881,-98.657686,2021-07-08 02:25:41 UTC,,,2021-07-08 02:40:43 UTC,,
finished,2021-07-08 20:10:23 UTC,29.4514,-98.68311,2021-07-08 20:17:26 UTC,,,2021-07-08 20:49:49 UTC,,
finished,2021-07-08 01:13:49 UTC,29.53285,-98.56756999999999,2021-07-08 01:16:04 UTC,,,2021-07-08 01:21:55 UTC,,
finished,2021-07-08 01:52:22 UTC,29.483939000000003,-98.605802,2021-07-08 01:55:11 UTC,,,2021-07-08 02:03:51 UTC,,
finished,2021-06-29 20:01:11 UTC,29.512659999999997,-98.56989,2021-06-29 20:06:15 UTC,,,2021-06-29 20:28:26 UTC,,
finished,2021-06-29 04:57:20 UTC,29.43392,-98.49882,2021-06-29 05:03:23 UTC,,,2021-06-29 05:15:42 UTC,,
finished,2021-06-29 04:45:37 UTC,29.440340000000003,-98.50997,2021-06-29 04:50:47 UTC,,,2021-06-29 04:55:39 UTC,,
finished,2021-06-29 02:03:40 UTC,29.52362,-98.476268,2021-06-29 02:06:59 UTC,,,2021-06-29 02:18:42 UTC,,
finished,2021-07-24 20:02:30 UTC,29.448456,-98.687344,2021-07-24 20:08:23 UTC,,,2021-07-24 20:14:39 UTC,,
finished,2021-07-24 19:34:25 UTC,29.436771000000004,-98.654452,2021-07-24 19:39:04 UTC,,,2021-07-24 19:47:38 UTC,,
finished,2021-07-24 04:54:24 UTC,29.386066999999997,-98.478864,2021-07-24 04:59:03 UTC,,,2021-07-24 05:07:33 UTC,,
finished,2021-07-28 21:46:58 UTC,29.466390999999998,-98.619112,2021-07-28 21:52:07 UTC,,,2021-07-28 22:08:44 UTC,,
finished,2021-09-12 01:33:13 UTC,29.439193,-98.474305,2021-09-12 01:37:08 UTC,,,2021-09-12 01:46:31 UTC,,
finished,2021-07-27 19:04:17 UTC,29.520544,-98.50854,2021-07-27 19:11:09 UTC,,,2021-07-27 19:19:06 UTC,,
finished,2021-07-23 20:10:58 UTC,29.484136,-98.38340699999999,2021-07-23 20:18:37 UTC,,,2021-07-23 20:23:25 UTC,,
finished,2021-07-23 19:49:12 UTC,29.515705,-98.415533,2021-07-23 19:52:04 UTC,,,2021-07-23 19:56:57 UTC,,
finished,2021-07-23 17:20:30 UTC,29.474518,-98.6108,2021-07-23 17:22:43 UTC,,,2021-07-23 17:31:23 UTC,,
finished,2021-07-24 05:39:58 UTC,29.4146,-98.481224,2021-07-24 05:44:25 UTC,,,2021-07-24 05:56:02 UTC,,
finished,2021-07-24 04:17:54 UTC,29.46534,-98.51626,2021-07-24 04:24:03 UTC,,,2021-07-24 04:37:47 UTC,,
canceled,2021-07-24 05:24:14 UTC,29.411178000000003,-98.487996,,,,,,
finished,2021-07-08 01:27:15 UTC,29.532090000000004,-98.57627,2021-07-08 01:33:11 UTC,,,2021-07-08 01:41:13 UTC,,
finished,2021-07-27 19:50:31 UTC,29.350633000000002,-98.525982,2021-07-27 19:53:18 UTC,,,2021-07-27 19:57:55 UTC,,
finished,2021-07-27 19:21:37 UTC,29.534909999999996,-98.52064,2021-07-27 19:25:49 UTC,,,2021-07-27 19:49:01 UTC,,
finished,2021-07-27 23:38:28 UTC,29.489615999999998,-98.57723100000001,2021-07-27 23:47:03 UTC,,,2021-07-27 23:54:46 UTC,,
finished,2021-07-08 03:22:18 UTC,29.62636,-98.61093000000001,2021-07-08 03:25:58 UTC,,,2021-07-08 03:37:43 UTC,,
finished,2021-07-08 03:42:42 UTC,29.588094,-98.61859100000001,2021-07-08 03:46:55 UTC,,,2021-07-08 03:54:12 UTC,,
finished,2021-07-08 00:57:35 UTC,29.490809999999996,-98.56766,2021-07-08 01:01:09 UTC,,,2021-07-08 01:07:19 UTC,,
